date,week,month,year,season,is_holiday,promo_event,promo_flag_calendar
2009-12-01,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-02,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-03,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-04,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-05,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-06,49,12,2009,Winter,0,Christmas Run-up,1
2009-12-07,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-08,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-09,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-10,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-11,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-12,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-13,50,12,2009,Winter,0,Christmas Run-up,1
2009-12-14,51,12,2009,Winter,0,Christmas Run-up,1
2009-12-15,51,12,2009,Winter,0,Christmas Run-up,1
2009-12-16,51,12,2009,Winter,0,Christmas Run-up,1
2009-12-17,51,12,2009,Winter,0,Christmas Run-up,1
2009-12-18,51,12,2009,Winter,0,Christmas Run-up,1
2009-12-19,51,12,2009,Winter,0,,0
2009-12-20,51,12,2009,Winter,0,,0
2009-12-21,52,12,2009,Winter,0,,0
2009-12-22,52,12,2009,Winter,0,,0
2009-12-23,52,12,2009,Winter,0,,0
2009-12-24,52,12,2009,Winter,0,,0
2009-12-25,52,12,2009,Winter,1,,0
2009-12-26,52,12,2009,Winter,1,,0
2009-12-27,52,12,2009,Winter,0,,0
2009-12-28,53,12,2009,Winter,1,,0
2009-12-29,53,12,2009,Winter,0,,0
2009-12-30,53,12,2009,Winter,0,,0
2009-12-31,53,12,2009,Winter,0,,0
2010-01-01,53,1,2010,Winter,1,January Sale,1
2010-01-02,53,1,2010,Winter,0,January Sale,1
2010-01-03,53,1,2010,Winter,0,January Sale,1
2010-01-04,1,1,2010,Winter,0,January Sale,1
2010-01-05,1,1,2010,Winter,0,January Sale,1
2010-01-06,1,1,2010,Winter,0,January Sale,1
2010-01-07,1,1,2010,Winter,0,January Sale,1
2010-01-08,1,1,2010,Winter,0,January Sale,1
2010-01-09,1,1,2010,Winter,0,January Sale,1
2010-01-10,1,1,2010,Winter,0,January Sale,1
2010-01-11,2,1,2010,Winter,0,January Sale,1
