date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-08-11,15036,74.0,398.0,14,421
2011-08-12,15036,322.0,0.0,14,421
2011-08-13,15036,322.0,406.0,14,421
2011-08-14,15036,322.0,406.0,14,421
2011-08-15,15036,322.0,406.0,14,421
2011-08-16,15036,310.0,406.0,14,421
2011-08-17,15036,298.0,406.0,14,421
2011-08-18,15036,274.0,406.0,14,421
2011-08-19,15036,274.0,406.0,14,421
2011-08-20,15036,274.0,406.0,14,421
2011-08-21,15036,262.0,406.0,14,421
2011-08-22,15036,262.0,406.0,14,421
2011-08-23,15036,238.0,406.0,14,421
2011-08-24,15036,238.0,406.0,14,421
2011-08-25,15036,226.0,406.0,14,421
2011-08-26,15036,226.0,406.0,14,421
2011-08-27,15036,632.0,0.0,14,421
2011-08-28,15036,608.0,0.0,14,421
2011-08-29,15036,608.0,0.0,14,421
2011-08-30,15036,515.0,0.0,14,421
2011-08-31,15036,512.0,0.0,14,421
2011-09-01,15036,464.0,0.0,14,421
2011-09-02,15036,451.0,0.0,14,421
2011-09-03,15036,451.0,0.0,14,421
2011-09-04,15036,427.0,0.0,14,421
2011-09-05,15036,427.0,0.0,14,421
2011-09-06,15036,403.0,325.0,14,421
2011-09-07,15036,386.0,325.0,14,421
2011-09-08,15036,260.0,325.0,14,421
2011-09-09,15036,212.0,325.0,14,421
2011-09-10,15036,212.0,325.0,14,421
2011-09-11,15036,212.0,325.0,14,421
2011-09-12,15036,200.0,325.0,14,421
2011-09-13,15036,160.0,325.0,14,421
2011-09-14,15036,148.0,325.0,14,421
2011-09-15,15036,148.0,325.0,14,421
2011-09-16,15036,148.0,325.0,14,421
2011-09-17,15036,148.0,325.0,14,421
2011-09-18,15036,148.0,325.0,14,421
2011-09-19,15036,148.0,325.0,14,421
2011-09-20,15036,449.0,0.0,14,421
2011-09-21,15036,404.0,324.0,14,421
2011-09-22,15036,380.0,324.0,14,421
2011-09-23,15036,380.0,324.0,14,421
2011-09-24,15036,380.0,324.0,14,421
2011-09-25,15036,380.0,324.0,14,421
2011-09-26,15036,380.0,324.0,14,421
2011-09-27,15036,378.0,324.0,14,421
2011-09-28,15036,364.0,324.0,14,421
2011-09-29,15036,350.0,324.0,14,421
2011-09-30,15036,350.0,324.0,14,421
2011-10-01,15036,350.0,324.0,14,421
2011-10-02,15036,350.0,324.0,14,421
2011-10-03,15036,254.0,324.0,14,421
2011-10-04,15036,0.0,728.0,14,421
2011-10-05,15036,312.0,404.0,14,421
2011-10-06,15036,300.0,404.0,14,421
2011-10-07,15036,300.0,404.0,14,421
2011-10-08,15036,300.0,404.0,14,421
2011-10-09,15036,300.0,404.0,14,421
2011-10-10,15036,238.0,404.0,14,421
2011-10-11,15036,222.0,404.0,14,421
2011-10-12,15036,186.0,404.0,14,421
2011-10-13,15036,102.0,404.0,14,421
2011-10-14,15036,76.0,404.0,14,421
2011-10-15,15036,76.0,404.0,14,421
2011-10-16,15036,76.0,404.0,14,421
2011-10-17,15036,0.0,728.0,14,421
2011-10-18,15036,399.0,324.0,14,421
2011-10-19,15036,381.0,324.0,14,421
2011-10-20,15036,333.0,324.0,14,421
2011-10-21,15036,297.0,324.0,14,421
2011-10-22,15036,297.0,324.0,14,421
2011-10-23,15036,297.0,324.0,14,421
2011-10-24,15036,293.0,324.0,14,421
2011-10-25,15036,268.0,324.0,14,421
