sku_id,description,category,unit_cost,list_price,forecast_demand_horizon,forecast_daily_rate,on_hand_units,on_order_units,lead_time_days,reorder_point,forecast_demand_leadtime,stockout_risk,sales_at_risk_rupees,overstock_risk,capital_locked_rupees,quadrant,revenue_at_stake,recommended_action
22423,REGENCY CAKESTAND 3 TIER,General Merchandise,6.31,12.75,1475.5121914585884,26.348431990331935,751.0,0.0,10,680,263.4843199033194,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting & Candles,1.66,2.95,2017.831253019026,36.03270094676832,1897.0,3467.0,9,2453,324.2943085209149,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85099B,JUMBO BAG RED RETROSPOT,Bags,0.93,1.95,4500.482109131476,80.36575194877636,1594.0,2732.0,9,2221,723.2917675389873,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
47566,PARTY BUNTING,Storage,2.53,4.95,883.0708295218811,15.769121955747877,316.0,0.0,3,143,47.30736586724363,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84879,ASSORTED COLOUR BIRD ORNAMENT,Garden & Outdoor,1.07,1.69,3861.727668587985,68.95942265335688,609.0,1366.0,8,1214,551.675381226855,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Seasonal & Christmas,1.34,2.95,3397.888963713073,60.676588637733445,0.0,800.0,4,639,242.70635455093378,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
79321,CHILLI LIGHTS,Lighting & Candles,2.46,4.95,867.0195075248903,15.482491205801612,181.0,0.0,10,118,154.8249120580161,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22197,SMALL POPCORN HOLDER,General Merchandise,0.42,0.85,10657.586573260156,190.3140459510742,0.0,1116.0,5,546,951.570229755371,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22386,JUMBO BAG PINK POLKADOT,Bags,1.22,1.95,1678.6824731617724,29.97647273503165,1229.0,0.0,3,514,89.92941820509495,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Lighting & Candles,1.43,2.55,2408.3302347111653,43.005897048413665,206.0,513.0,11,383,473.0648675325503,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20725,LUNCH BAG RED RETROSPOT,Bags,0.95,1.65,1731.192042951773,30.914143624138802,684.0,0.0,4,544,123.65657449655521,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85099F,JUMBO BAG STRAWBERRY,Bags,0.91,1.95,1341.2764812278738,23.951365736212033,572.0,0.0,5,559,119.75682868106017,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
23084,RABBIT NIGHT LIGHT,Lighting & Candles,1.08,2.08,11087.906412826203,197.99832880046793,0.0,2100.0,9,1006,1781.9849592042115,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
48138,DOORMAT UNION FLAG,Home Decor,3.64,7.49,431.65110932910204,7.708055523733965,801.0,0.0,11,436,84.78861076107361,0.0,0.0,0.46110972618089635,1344.4299620420686,Healthy,1344.4299620420686,No action needed; leave as is.
20685,DOORMAT RED RETROSPOT,Home Decor,4.2,7.49,562.6913350545495,10.048059554545528,528.0,0.0,6,291,60.28835732727317,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21137,BLACK RECORD COVER FRAME,Home Decor,2.27,3.75,1185.4360062600415,21.168500111786454,0.0,529.0,8,198,169.34800089429163,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21931,JUMBO STORAGE BAG SUKI,Bags,1.05,1.95,1715.036745211026,30.62565616448261,678.0,445.0,13,698,398.13353013827395,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22502,PICNIC BASKET WICKER SMALL,General Merchandise,3.79,5.95,830.7587118236273,14.834976996850488,212.0,0.0,4,122,59.33990798740195,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21621,VINTAGE UNION JACK BUNTING,Storage,4.12,8.5,432.4445476151836,7.722224064556849,52.0,87.0,7,67,54.05556845189795,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21843,RED RETROSPOT CAKE STAND,General Merchandise,5.73,10.95,402.5318406277545,7.188068582638473,235.0,0.0,12,209,86.25682299166168,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
15056N,EDWARDIAN PARASOL NATURAL,General Merchandise,2.97,5.95,637.8982844806458,11.391040794297245,1160.0,0.0,8,425,91.12832635437796,0.0,0.0,0.45008768579254677,1550.6420950924821,Healthy,1550.6420950924821,No action needed; leave as is.
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Bags,1.13,1.95,1362.885778273663,24.337246040601123,640.0,733.0,10,809,243.37246040601121,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Home & Living,1.8,3.95,1179.5542356133387,21.063468493095336,0.0,632.0,10,495,210.63468493095337,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Seasonal & Christmas,1.39,2.95,2037.0177991679113,36.37531784228413,1272.0,1597.0,11,2179,400.1284962651255,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22112,CHOCOLATE HOT WATER BOTTLE,Home & Living,2.45,4.95,906.8319806818018,16.193428226460746,108.0,408.0,5,307,80.96714113230374,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,General Merchandise,1.19,1.95,1366.2131406396468,24.39666322570798,247.0,888.0,11,713,268.36329548278775,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
82484,WOOD BLACK BOARD ANT WHITE FINISH,General Merchandise,3.76,6.75,664.9849019413605,11.874730391810008,0.0,20.0,8,10,94.99784313448006,0.78946890434462,506.2354411577404,0.0,0.0,Reorder Now,506.2354411577404,Raise a replenishment order before stock runs out.
22470,HEART OF WICKER LARGE,General Merchandise,1.89,2.95,1461.8781796506871,26.10496749376227,203.0,597.0,14,601,365.4695449126718,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Kitchen & Dining,1.83,2.95,694.4170939966064,12.400305249939398,371.0,425.0,14,656,173.6042734991516,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21212,PACK OF 72 RETROSPOT CAKE CASES,General Merchandise,0.28,0.55,3746.7302018772752,66.9058964620942,1732.0,2766.0,10,2333,669.0589646209421,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22178,VICTORIAN GLASS HANGING T-LIGHT,Lighting & Candles,0.63,1.25,1718.3836783335066,30.68542282738405,0.0,486.0,5,224,153.42711413692024,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22139,RETROSPOT TEA SET CERAMIC 11 PC ,General Merchandise,2.26,4.95,648.8099831960373,11.585892557072095,0.0,231.0,12,218,139.03071068486514,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21181,PLEASE ONE PERSON METAL SIGN,Home Decor,1.23,2.1,1697.3939618197871,30.31060646106763,336.0,811.0,8,498,242.48485168854103,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21733,RED HANGING HEART T-LIGHT HOLDER,Lighting & Candles,1.7,2.95,1215.804526821421,21.71079512181109,748.0,629.0,14,826,303.95113170535524,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21929,JUMBO BAG PINK VINTAGE PAISLEY,Bags,1.08,1.95,1130.5073616389213,20.18763145783788,677.0,0.0,6,654,121.12578874702729,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22090,PAPER BUNTING RETROSPOT,Storage,1.81,2.95,843.9323213395829,15.070220023921124,331.0,0.0,11,291,165.77242026313235,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22189,CREAM HEART CARD HOLDER,Stationery,2.46,3.95,1045.5119683938876,18.66985657846228,98.0,611.0,4,256,74.67942631384912,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22111,SCOTTIE DOG HOT WATER BOTTLE,Home & Living,2.75,4.95,1103.872744407592,19.712013292992715,616.0,0.0,13,576,256.2561728089053,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84946,ANTIQUE SILVER TEA GLASS ETCHED,General Merchandise,0.76,1.25,1732.2426183832868,30.93290389970155,784.0,0.0,14,775,433.0606545958217,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
48194,DOORMAT HEARTS,Home Decor,4.1,7.95,387.17061216286237,6.913760931479685,574.0,0.0,4,254,27.65504372591874,0.0,0.0,0.32548673839222586,766.0004901322642,Healthy,766.0004901322642,No action needed; leave as is.
22469,HEART OF WICKER SMALL,General Merchandise,0.93,1.65,1609.463140085545,28.740413215813305,102.0,1273.0,14,1004,402.3657850213863,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21232,STRAWBERRY CERAMIC TRINKET BOX,Storage,0.6,1.25,1150.5451616485589,20.545449315152837,788.0,2200.0,4,909,82.18179726061135,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
15056BL,EDWARDIAN PARASOL BLACK,General Merchandise,3.03,5.95,407.4257334064606,7.275459525115368,1048.0,0.0,14,928,101.85643335161515,0.0,0.0,0.6112349872075757,1940.9400277784243,Markdown / Clear,1940.9400277784243,Promote or discount to free up capital.
22457,NATURAL SLATE HEART CHALKBOARD ,General Merchandise,1.73,2.95,1070.114903088053,19.109194698000948,0.0,634.0,4,238,76.43677879200379,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21731,RED TOADSTOOL LED NIGHT LIGHT,Lighting & Candles,0.8,1.65,1268.4027564704159,22.650049222685997,814.0,1168.0,14,826,317.10068911760396,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
48187,DOORMAT NEW ENGLAND,Home Decor,3.66,7.49,380.3471194727541,6.791912847727752,148.0,267.0,11,213,74.71104132500527,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21754,HOME BUILDING BLOCK WORD,General Merchandise,3.41,5.95,409.7176211338762,7.316386091676361,313.0,0.0,4,137,29.265544366705445,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21523,DOORMAT FANCY FONT HOME SWEET HOME,Home Decor,4.71,7.95,457.4365705168,8.168510187799999,210.0,265.0,11,233,89.8536120658,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21928,JUMBO BAG SCANDINAVIAN PAISLEY,Bags,1.0,1.95,1271.175483327831,22.699562202282696,549.0,828.0,12,590,272.39474642739236,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
82494L,WOODEN FRAME ANTIQUE WHITE ,Home Decor,1.84,2.95,810.4245992887891,14.471867844442661,96.0,514.0,12,395,173.66241413331193,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22355,CHARLOTTE BAG SUKI DESIGN,Bags,0.52,0.85,2055.2027668458136,36.700049407960954,23.0,746.0,6,423,220.2002964477657,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21623,VINTAGE UNION JACK MEMOBOARD,General Merchandise,6.45,9.95,497.38487745917485,8.881872811770979,33.0,90.0,12,98,106.58247374125175,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,Storage,1.45,2.95,932.6531652271431,16.654520807627556,416.0,0.0,6,368,99.92712484576533,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20727,LUNCH BAG  BLACK SKULL.,Bags,0.85,1.65,1488.5099071526242,26.580534056296862,558.0,0.0,7,503,186.06373839407803,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22383,LUNCH BAG SUKI  DESIGN ,Bags,0.84,1.65,1060.4484161720231,18.9365788602147,856.0,0.0,13,839,246.1755251827911,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,1.85,3.75,800.8525068085792,14.30093762158177,404.0,0.0,6,355,85.80562572949063,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84029E,RED WOOLLY HOTTIE WHITE HEART.,General Merchandise,2.09,3.75,867.6424956403109,15.49361599357698,555.0,670.0,10,632,154.9361599357698,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
23298,SPOTTY BUNTING,Storage,2.65,4.95,1337.649249932507,23.88659374879477,1344.0,0.0,12,1205,286.63912498553725,0.0,0.0,0.004725260466884659,16.8294876788564,Healthy,16.8294876788564,No action needed; leave as is.
22138,BAKING SET 9 PIECE RETROSPOT ,General Merchandise,3.08,4.95,778.7943736817409,13.907042387173945,0.0,488.0,12,321,166.88450864608734,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21915,RED  HARMONICA IN BOX ,Storage,0.78,1.25,2409.7158783733803,43.030640685238936,0.0,22.0,10,10,430.3064068523894,0.9488736406205851,510.38300856548676,0.0,0.0,Reorder Now,510.38300856548676,Raise a replenishment order before stock runs out.
48185,DOORMAT FAIRY CAKE,Home Decor,4.1,7.95,333.32232799534404,5.9521844284882865,383.0,0.0,11,210,65.47402871337115,0.0,0.0,0.1297067154168563,203.67845521908941,Healthy,203.67845521908941,No action needed; leave as is.
23203,JUMBO BAG VINTAGE DOILY ,Bags,1.16,2.08,3514.7373597698015,62.763167138746454,2315.0,0.0,4,1065,251.05266855498581,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
82482,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,1.37,2.55,889.4827371306116,15.883620305903777,281.0,0.0,3,251,47.650860917711334,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20728,LUNCH BAG CARS BLUE,Bags,0.82,1.65,1272.4632108909325,22.72255733733808,582.0,0.0,4,330,90.89022934935232,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20713,JUMBO BAG OWLS,Bags,1.02,1.95,1378.4070746474576,24.61441204727603,171.0,517.0,11,458,270.75853252003634,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21175,GIN + TONIC DIET METAL SIGN,Home Decor,1.13,2.1,1382.7827883404395,24.692549791793564,401.0,632.0,14,578,345.6956970851099,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22083,PAPER CHAIN KIT RETROSPOT,General Merchandise,1.59,2.95,656.6899373905151,11.726606024830627,723.0,0.0,3,297,35.17981807449188,0.0,0.0,0.09171516266872051,105.43299954908105,Healthy,105.43299954908105,No action needed; leave as is.
84078A,SET/4 WHITE RETRO STORAGE CUBES ,Storage,23.54,39.95,216.3821327983245,3.8639666571129374,20.0,27.0,8,22,30.9117332569035,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,2.41,3.75,716.689517979732,12.79802710678093,420.0,0.0,7,298,89.5861897474665,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22629,SPACEBOY LUNCH BOX ,Storage,1.1,1.95,1599.987698815124,28.57120890741293,1083.0,0.0,4,446,114.28483562965172,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Lighting & Candles,1.97,3.25,728.5354141421956,13.009560966824921,282.0,0.0,6,111,78.05736580094953,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Storage,2.81,4.95,977.4873049360066,17.455130445285832,359.0,680.0,9,469,157.09617400757247,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22960,JAM MAKING SET WITH JARS,General Merchandise,2.04,4.25,965.0862190297096,17.233682482673384,13.0,643.0,12,513,206.8041897920806,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85066,CREAM SWEETHEART MINI CHEST,General Merchandise,7.69,12.75,177.82378582748171,3.175424746919316,65.0,132.0,9,87,28.578822722273845,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
82486,WOOD S/3 CABINET ANT WHITE FINISH,General Merchandise,5.07,7.95,338.86608700682154,6.051180125121813,105.0,123.0,5,106,30.255900625609065,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
21166,COOK WITH WINE METAL SIGN ,Home Decor,1.16,1.95,1031.753087938189,18.42416228461052,368.0,0.0,4,232,73.69664913844208,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20712,JUMBO BAG WOODLAND ANIMALS,Bags,1.23,2.08,937.5373316402836,16.741738065005062,364.0,0.0,6,309,100.45042839003037,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
