sku_id,description,category,subcategory,launch_date,unit_cost,list_price
22423,REGENCY CAKESTAND 3 TIER,General Merchandise,General Merchandise,2010-03-15,6.31,12.75
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-01,1.66,2.95
85099B,JUMBO BAG RED RETROSPOT,Bags,Bags,2009-12-01,0.93,1.95
47566,PARTY BUNTING,Storage,Storage,2009-12-01,2.53,4.95
84879,ASSORTED COLOUR BIRD ORNAMENT,Garden & Outdoor,Garden & Outdoor,2009-12-01,1.07,1.69
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Seasonal & Christmas,Seasonal & Christmas,2009-12-01,1.34,2.95
79321,CHILLI LIGHTS,Lighting & Candles,Lighting & Candles,2009-12-01,2.46,4.95
22197,SMALL POPCORN HOLDER,General Merchandise,General Merchandise,2009-12-01,0.42,0.85
22386,JUMBO BAG PINK POLKADOT,Bags,Bags,2010-01-29,1.22,1.95
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Lighting & Candles,Lighting & Candles,2009-12-01,1.43,2.55
20725,LUNCH BAG RED RETROSPOT,Bags,Bags,2009-12-01,0.95,1.65
85099F,JUMBO BAG STRAWBERRY,Bags,Bags,2009-12-01,0.91,1.95
23084,RABBIT NIGHT LIGHT,Lighting & Candles,Lighting & Candles,2011-05-10,1.08,2.08
48138,DOORMAT UNION FLAG,Home Decor,Home Decor,2009-12-15,3.64,7.49
20685,DOORMAT RED RETROSPOT,Home Decor,Home Decor,2009-12-01,4.2,7.49
21137,BLACK RECORD COVER FRAME,Home Decor,Home Decor,2009-12-01,2.27,3.75
21931,JUMBO STORAGE BAG SUKI,Bags,Bags,2009-12-01,1.05,1.95
22502,PICNIC BASKET WICKER SMALL,General Merchandise,General Merchandise,2010-05-23,3.79,5.95
21621,VINTAGE UNION JACK BUNTING,Storage,Storage,2009-12-01,4.12,8.5
21843,RED RETROSPOT CAKE STAND,General Merchandise,General Merchandise,2009-12-01,5.73,10.95
15056N,EDWARDIAN PARASOL NATURAL,General Merchandise,General Merchandise,2009-12-01,2.97,5.95
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Bags,Bags,2009-12-01,1.13,1.95
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Home & Living,Home & Living,2009-12-01,1.8,3.95
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Seasonal & Christmas,Seasonal & Christmas,2010-09-19,1.39,2.95
22112,CHOCOLATE HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,2.45,4.95
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,General Merchandise,General Merchandise,2010-01-29,1.19,1.95
82484,WOOD BLACK BOARD ANT WHITE FINISH,General Merchandise,General Merchandise,2009-12-08,3.76,6.75
22470,HEART OF WICKER LARGE,General Merchandise,General Merchandise,2010-04-22,1.89,2.95
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Kitchen & Dining,Kitchen & Dining,2009-12-01,1.83,2.95
21212,PACK OF 72 RETROSPOT CAKE CASES,General Merchandise,General Merchandise,2009-12-01,0.28,0.55
22178,VICTORIAN GLASS HANGING T-LIGHT,Lighting & Candles,Lighting & Candles,2009-12-01,0.63,1.25
22139,RETROSPOT TEA SET CERAMIC 11 PC ,General Merchandise,General Merchandise,2009-12-01,2.26,4.95
21181,PLEASE ONE PERSON METAL SIGN,Home Decor,Home Decor,2009-12-01,1.23,2.1
21733,RED HANGING HEART T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-01,1.7,2.95
21929,JUMBO BAG PINK VINTAGE PAISLEY,Bags,Bags,2009-12-01,1.08,1.95
22090,PAPER BUNTING RETROSPOT,Storage,Storage,2009-12-01,1.81,2.95
22189,CREAM HEART CARD HOLDER,Stationery,Stationery,2009-12-01,2.46,3.95
22111,SCOTTIE DOG HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,2.75,4.95
84946,ANTIQUE SILVER TEA GLASS ETCHED,General Merchandise,General Merchandise,2009-12-01,0.76,1.25
48194,DOORMAT HEARTS,Home Decor,Home Decor,2009-12-01,4.1,7.95
22469,HEART OF WICKER SMALL,General Merchandise,General Merchandise,2010-04-22,0.93,1.65
21232,STRAWBERRY CERAMIC TRINKET BOX,Storage,Storage,2009-12-01,0.6,1.25
15056BL,EDWARDIAN PARASOL BLACK,General Merchandise,General Merchandise,2009-12-01,3.03,5.95
22457,NATURAL SLATE HEART CHALKBOARD ,General Merchandise,General Merchandise,2010-03-04,1.73,2.95
21731,RED TOADSTOOL LED NIGHT LIGHT,Lighting & Candles,Lighting & Candles,2009-12-01,0.8,1.65
48187,DOORMAT NEW ENGLAND,Home Decor,Home Decor,2009-12-01,3.66,7.49
21754,HOME BUILDING BLOCK WORD,General Merchandise,General Merchandise,2009-12-01,3.41,5.95
21523,DOORMAT FANCY FONT HOME SWEET HOME,Home Decor,Home Decor,2009-12-01,4.71,7.95
21928,JUMBO BAG SCANDINAVIAN PAISLEY,Bags,Bags,2009-12-01,1.0,1.95
82494L,WOODEN FRAME ANTIQUE WHITE ,Home Decor,Home Decor,2009-12-01,1.84,2.95
22355,CHARLOTTE BAG SUKI DESIGN,Bags,Bags,2009-12-01,0.52,0.85
21623,VINTAGE UNION JACK MEMOBOARD,General Merchandise,General Merchandise,2010-01-24,6.45,9.95
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,Storage,Storage,2010-01-07,1.45,2.95
20727,LUNCH BAG  BLACK SKULL.,Bags,Bags,2009-12-01,0.85,1.65
22383,LUNCH BAG SUKI  DESIGN ,Bags,Bags,2010-01-22,0.84,1.65
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,General Merchandise,2009-12-01,1.85,3.75
84029E,RED WOOLLY HOTTIE WHITE HEART.,General Merchandise,General Merchandise,2009-12-01,2.09,3.75
23298,SPOTTY BUNTING,Storage,Storage,2011-05-04,2.65,4.95
22138,BAKING SET 9 PIECE RETROSPOT ,General Merchandise,General Merchandise,2009-12-01,3.08,4.95
21915,RED  HARMONICA IN BOX ,Storage,Storage,2009-12-04,0.78,1.25
48185,DOORMAT FAIRY CAKE,Home Decor,Home Decor,2009-12-01,4.1,7.95
23203,JUMBO BAG VINTAGE DOILY ,Bags,Bags,2011-05-06,1.16,2.08
82482,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,Home Decor,2009-12-01,1.37,2.55
20728,LUNCH BAG CARS BLUE,Bags,Bags,2009-12-01,0.82,1.65
20713,JUMBO BAG OWLS,Bags,Bags,2009-12-01,1.02,1.95
21175,GIN + TONIC DIET METAL SIGN,Home Decor,Home Decor,2009-12-01,1.13,2.1
22083,PAPER CHAIN KIT RETROSPOT,General Merchandise,General Merchandise,2009-12-01,1.59,2.95
84078A,SET/4 WHITE RETRO STORAGE CUBES ,Storage,Storage,2009-12-02,23.54,39.95
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,General Merchandise,2009-12-01,2.41,3.75
22629,SPACEBOY LUNCH BOX ,Storage,Storage,2010-07-01,1.1,1.95
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Lighting & Candles,Lighting & Candles,2009-12-01,1.97,3.25
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Storage,Storage,2010-12-13,2.81,4.95
22960,JAM MAKING SET WITH JARS,General Merchandise,General Merchandise,2010-11-28,2.04,4.25
85066,CREAM SWEETHEART MINI CHEST,General Merchandise,General Merchandise,2009-12-01,7.69,12.75
82486,WOOD S/3 CABINET ANT WHITE FINISH,General Merchandise,General Merchandise,2009-12-01,5.07,7.95
21166,COOK WITH WINE METAL SIGN ,Home Decor,Home Decor,2009-12-01,1.16,1.95
20712,JUMBO BAG WOODLAND ANIMALS,Bags,Bags,2009-12-01,1.23,2.08
20726,LUNCH BAG WOODLAND,Bags,Bags,2009-12-01,0.85,1.65
22699,ROSES REGENCY TEACUP AND SAUCER ,Kitchen & Dining,Kitchen & Dining,2010-08-11,1.59,2.95
21485,RETROSPOT HEART HOT WATER BOTTLE,Home & Living,Home & Living,2009-12-01,2.44,4.95
23284,DOORMAT KEEP CALM AND COME IN,Home Decor,Home Decor,2011-04-27,4.11,7.95
22727,ALARM CLOCK BAKELIKE RED ,Home Decor,Home Decor,2010-09-24,2.13,3.75
21524,DOORMAT SPOTTY HOME SWEET HOME,Home Decor,Home Decor,2009-12-01,3.87,7.95
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,General Merchandise,General Merchandise,2009-12-01,2.31,3.75
20724,RED RETROSPOT CHARLOTTE BAG,Bags,Bags,2009-12-01,0.55,0.85
21755,LOVE BUILDING BLOCK WORD,General Merchandise,General Merchandise,2009-12-01,3.76,5.95
22379,RECYCLING BAG RETROSPOT ,Bags,Bags,2010-01-25,1.06,2.1
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,Storage,Storage,2010-01-07,1.64,2.95
22382,LUNCH BAG SPACEBOY DESIGN ,Bags,Bags,2010-01-22,1.02,1.65
22384,LUNCH BAG PINK POLKADOT,Bags,Bags,2010-01-25,0.91,1.65
22666,RECIPE BOX PANTRY YELLOW DESIGN,Storage,Storage,2010-07-09,1.83,2.95
22630,DOLLY GIRL LUNCH BOX,Storage,Storage,2010-07-01,1.0,1.95
22726,ALARM CLOCK BAKELIKE GREEN,Home Decor,Home Decor,2010-09-24,2.1,3.75
15036,ASSORTED COLOURS SILK FAN,General Merchandise,General Merchandise,2009-12-01,0.48,0.83
22385,JUMBO BAG SPACEBOY DESIGN,Bags,Bags,2010-01-29,1.15,1.95
22077,6 RIBBONS RUSTIC CHARM,General Merchandise,General Merchandise,2009-12-01,0.86,1.65
