sku_id,description,category,unit_cost,list_price,forecast_demand_horizon,forecast_daily_rate,on_hand_units,on_order_units,lead_time_days,reorder_point,forecast_demand_leadtime,stockout_risk,sales_at_risk_rupees,overstock_risk,capital_locked_rupees,quadrant,revenue_at_stake,recommended_action
22423,REGENCY CAKESTAND 3 TIER,General Merchandise,6.31,12.75,1468.6245223626622,26.225437899333254,751.0,0.0,10,680,262.2543789933325,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Lighting & Candles,1.66,2.95,1917.3218761206745,34.237890645012044,1897.0,3467.0,9,2453,308.1410158051084,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85099B,JUMBO BAG RED RETROSPOT,Bags,0.93,1.95,4430.511194933701,79.1162713381018,1594.0,2732.0,9,2221,712.0464420429162,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
47566,PARTY BUNTING,Storage,2.53,4.95,645.0766432797438,11.519225772852568,316.0,0.0,3,143,34.55767731855771,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84879,ASSORTED COLOUR BIRD ORNAMENT,Garden & Outdoor,1.07,1.69,3601.6407244321244,64.31501293628794,609.0,1366.0,8,1214,514.5201034903035,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Seasonal & Christmas,1.34,2.95,3596.869122556488,64.22980575993729,0.0,800.0,4,639,256.91922303974917,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
79321,CHILLI LIGHTS,Lighting & Candles,2.46,4.95,810.6317897344009,14.475567673828587,181.0,0.0,10,118,144.75567673828587,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
22197,SMALL POPCORN HOLDER,General Merchandise,0.42,0.85,13108.129850725023,234.0737473343754,0.0,1116.0,5,546,1170.368736671877,0.046454365165702304,46.2134261710955,0.0,0.0,Healthy,46.2134261710955,No action needed; leave as is.
22386,JUMBO BAG PINK POLKADOT,Bags,1.22,1.95,1665.7434205833404,29.745418224702508,1229.0,0.0,3,514,89.23625467410753,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Lighting & Candles,1.43,2.55,2443.34620901522,43.63118230384322,206.0,513.0,11,383,479.9430053422754,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
20725,LUNCH BAG RED RETROSPOT,Bags,0.95,1.65,1774.3614388198332,31.68502569321131,684.0,0.0,4,544,126.74010277284523,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
85099F,JUMBO BAG STRAWBERRY,Bags,0.91,1.95,1256.0522646511254,22.429504725912953,572.0,0.0,5,559,112.14752362956476,0.0,0.0,0.0,0.0,Healthy,0.0,No action needed; leave as is.
23084,RABBIT NIGHT LIGHT,Lighting & Candles,1.08,2.08,13783.109760737976,246.12696001317815,0.0,2100.0,9,1006,2215.142640118603,0.051979785876199,239.49669144669454,0.0,0.0,Healthy,239.49669144669454,No action needed; leave as is.
48138,DOORMAT UNION FLAG,Home Decor,3.64,7.49,404.79728600471367,7.228522964369887,801.0,0.0,11,436,79.51375260806876,0.0,0.0,0.4946350986208319,1442.1778789428422,Healthy,1442.1778789428422,No action needed; leave as is.
