date,year,month,month_name,week,day_of_week,day_name,quarter,is_weekend
2009-12-01,2009,12,December,49,1,Tuesday,4,0
2009-12-02,2009,12,December,49,2,Wednesday,4,0
2009-12-03,2009,12,December,49,3,Thursday,4,0
2009-12-04,2009,12,December,49,4,Friday,4,0
2009-12-05,2009,12,December,49,5,Saturday,4,1
2009-12-06,2009,12,December,49,6,Sunday,4,1
2009-12-07,2009,12,December,50,0,Monday,4,0
2009-12-08,2009,12,December,50,1,Tuesday,4,0
2009-12-09,2009,12,December,50,2,Wednesday,4,0
2009-12-10,2009,12,December,50,3,Thursday,4,0
2009-12-11,2009,12,December,50,4,Friday,4,0
2009-12-12,2009,12,December,50,5,Saturday,4,1
2009-12-13,2009,12,December,50,6,Sunday,4,1
2009-12-14,2009,12,December,51,0,Monday,4,0
2009-12-15,2009,12,December,51,1,Tuesday,4,0
2009-12-16,2009,12,December,51,2,Wednesday,4,0
2009-12-17,2009,12,December,51,3,Thursday,4,0
2009-12-18,2009,12,December,51,4,Friday,4,0
2009-12-19,2009,12,December,51,5,Saturday,4,1
2009-12-20,2009,12,December,51,6,Sunday,4,1
2009-12-21,2009,12,December,52,0,Monday,4,0
2009-12-22,2009,12,December,52,1,Tuesday,4,0
2009-12-23,2009,12,December,52,2,Wednesday,4,0
2009-12-24,2009,12,December,52,3,Thursday,4,0
2009-12-25,2009,12,December,52,4,Friday,4,0
2009-12-26,2009,12,December,52,5,Saturday,4,1
2009-12-27,2009,12,December,52,6,Sunday,4,1
2009-12-28,2009,12,December,53,0,Monday,4,0
2009-12-29,2009,12,December,53,1,Tuesday,4,0
2009-12-30,2009,12,December,53,2,Wednesday,4,0
2009-12-31,2009,12,December,53,3,Thursday,4,0
2010-01-01,2010,1,January,53,4,Friday,1,0
2010-01-02,2010,1,January,53,5,Saturday,1,1
2010-01-03,2010,1,January,53,6,Sunday,1,1
2010-01-04,2010,1,January,1,0,Monday,1,0
2010-01-05,2010,1,January,1,1,Tuesday,1,0
2010-01-06,2010,1,January,1,2,Wednesday,1,0
2010-01-07,2010,1,January,1,3,Thursday,1,0
2010-01-08,2010,1,January,1,4,Friday,1,0
2010-01-09,2010,1,January,1,5,Saturday,1,1
2010-01-10,2010,1,January,1,6,Sunday,1,1
2010-01-11,2010,1,January,2,0,Monday,1,0
2010-01-12,2010,1,January,2,1,Tuesday,1,0
2010-01-13,2010,1,January,2,2,Wednesday,1,0
2010-01-14,2010,1,January,2,3,Thursday,1,0
2010-01-15,2010,1,January,2,4,Friday,1,0
2010-01-16,2010,1,January,2,5,Saturday,1,1
2010-01-17,2010,1,January,2,6,Sunday,1,1
2010-01-18,2010,1,January,3,0,Monday,1,0
2010-01-19,2010,1,January,3,1,Tuesday,1,0
2010-01-20,2010,1,January,3,2,Wednesday,1,0
2010-01-21,2010,1,January,3,3,Thursday,1,0
2010-01-22,2010,1,January,3,4,Friday,1,0
2010-01-23,2010,1,January,3,5,Saturday,1,1
2010-01-24,2010,1,January,3,6,Sunday,1,1
2010-01-25,2010,1,January,4,0,Monday,1,0
2010-01-26,2010,1,January,4,1,Tuesday,1,0
2010-01-27,2010,1,January,4,2,Wednesday,1,0
2010-01-28,2010,1,January,4,3,Thursday,1,0
2010-01-29,2010,1,January,4,4,Friday,1,0
2010-01-30,2010,1,January,4,5,Saturday,1,1
2010-01-31,2010,1,January,4,6,Sunday,1,1
2010-02-01,2010,2,February,5,0,Monday,1,0
2010-02-02,2010,2,February,5,1,Tuesday,1,0
2010-02-03,2010,2,February,5,2,Wednesday,1,0
2010-02-04,2010,2,February,5,3,Thursday,1,0
2010-02-05,2010,2,February,5,4,Friday,1,0
2010-02-06,2010,2,February,5,5,Saturday,1,1
2010-02-07,2010,2,February,5,6,Sunday,1,1
2010-02-08,2010,2,February,6,0,Monday,1,0
2010-02-09,2010,2,February,6,1,Tuesday,1,0
2010-02-10,2010,2,February,6,2,Wednesday,1,0
2010-02-11,2010,2,February,6,3,Thursday,1,0
2010-02-12,2010,2,February,6,4,Friday,1,0
2010-02-13,2010,2,February,6,5,Saturday,1,1
2010-02-14,2010,2,February,6,6,Sunday,1,1
2010-02-15,2010,2,February,7,0,Monday,1,0
2010-02-16,2010,2,February,7,1,Tuesday,1,0
2010-02-17,2010,2,February,7,2,Wednesday,1,0
2010-02-18,2010,2,February,7,3,Thursday,1,0
2010-02-19,2010,2,February,7,4,Friday,1,0
2010-02-20,2010,2,February,7,5,Saturday,1,1
2010-02-21,2010,2,February,7,6,Sunday,1,1
2010-02-22,2010,2,February,8,0,Monday,1,0
2010-02-23,2010,2,February,8,1,Tuesday,1,0
2010-02-24,2010,2,February,8,2,Wednesday,1,0
2010-02-25,2010,2,February,8,3,Thursday,1,0
2010-02-26,2010,2,February,8,4,Friday,1,0
2010-02-27,2010,2,February,8,5,Saturday,1,1
2010-02-28,2010,2,February,8,6,Sunday,1,1
2010-03-01,2010,3,March,9,0,Monday,1,0
2010-03-02,2010,3,March,9,1,Tuesday,1,0
2010-03-03,2010,3,March,9,2,Wednesday,1,0
2010-03-04,2010,3,March,9,3,Thursday,1,0
2010-03-05,2010,3,March,9,4,Friday,1,0
2010-03-06,2010,3,March,9,5,Saturday,1,1
2010-03-07,2010,3,March,9,6,Sunday,1,1
2010-03-08,2010,3,March,10,0,Monday,1,0
2010-03-09,2010,3,March,10,1,Tuesday,1,0
2010-03-10,2010,3,March,10,2,Wednesday,1,0
2010-03-11,2010,3,March,10,3,Thursday,1,0
2010-03-12,2010,3,March,10,4,Friday,1,0
2010-03-13,2010,3,March,10,5,Saturday,1,1
2010-03-14,2010,3,March,10,6,Sunday,1,1
2010-03-15,2010,3,March,11,0,Monday,1,0
2010-03-16,2010,3,March,11,1,Tuesday,1,0
2010-03-17,2010,3,March,11,2,Wednesday,1,0
2010-03-18,2010,3,March,11,3,Thursday,1,0
2010-03-19,2010,3,March,11,4,Friday,1,0
2010-03-20,2010,3,March,11,5,Saturday,1,1
2010-03-21,2010,3,March,11,6,Sunday,1,1
2010-03-22,2010,3,March,12,0,Monday,1,0
2010-03-23,2010,3,March,12,1,Tuesday,1,0
2010-03-24,2010,3,March,12,2,Wednesday,1,0
2010-03-25,2010,3,March,12,3,Thursday,1,0
2010-03-26,2010,3,March,12,4,Friday,1,0
2010-03-27,2010,3,March,12,5,Saturday,1,1
2010-03-28,2010,3,March,12,6,Sunday,1,1
2010-03-29,2010,3,March,13,0,Monday,1,0
2010-03-30,2010,3,March,13,1,Tuesday,1,0
2010-03-31,2010,3,March,13,2,Wednesday,1,0
2010-04-01,2010,4,April,13,3,Thursday,2,0
2010-04-02,2010,4,April,13,4,Friday,2,0
2010-04-03,2010,4,April,13,5,Saturday,2,1
2010-04-04,2010,4,April,13,6,Sunday,2,1
2010-04-05,2010,4,April,14,0,Monday,2,0
2010-04-06,2010,4,April,14,1,Tuesday,2,0
2010-04-07,2010,4,April,14,2,Wednesday,2,0
2010-04-08,2010,4,April,14,3,Thursday,2,0
2010-04-09,2010,4,April,14,4,Friday,2,0
2010-04-10,2010,4,April,14,5,Saturday,2,1
2010-04-11,2010,4,April,14,6,Sunday,2,1
2010-04-12,2010,4,April,15,0,Monday,2,0
2010-04-13,2010,4,April,15,1,Tuesday,2,0
2010-04-14,2010,4,April,15,2,Wednesday,2,0
2010-04-15,2010,4,April,15,3,Thursday,2,0
2010-04-16,2010,4,April,15,4,Friday,2,0
2010-04-17,2010,4,April,15,5,Saturday,2,1
2010-04-18,2010,4,April,15,6,Sunday,2,1
2010-04-19,2010,4,April,16,0,Monday,2,0
2010-04-20,2010,4,April,16,1,Tuesday,2,0
2010-04-21,2010,4,April,16,2,Wednesday,2,0
2010-04-22,2010,4,April,16,3,Thursday,2,0
2010-04-23,2010,4,April,16,4,Friday,2,0
2010-04-24,2010,4,April,16,5,Saturday,2,1
2010-04-25,2010,4,April,16,6,Sunday,2,1
2010-04-26,2010,4,April,17,0,Monday,2,0
2010-04-27,2010,4,April,17,1,Tuesday,2,0
2010-04-28,2010,4,April,17,2,Wednesday,2,0
2010-04-29,2010,4,April,17,3,Thursday,2,0
2010-04-30,2010,4,April,17,4,Friday,2,0
2010-05-01,2010,5,May,17,5,Saturday,2,1
2010-05-02,2010,5,May,17,6,Sunday,2,1
2010-05-03,2010,5,May,18,0,Monday,2,0
2010-05-04,2010,5,May,18,1,Tuesday,2,0
2010-05-05,2010,5,May,18,2,Wednesday,2,0
2010-05-06,2010,5,May,18,3,Thursday,2,0
2010-05-07,2010,5,May,18,4,Friday,2,0
2010-05-08,2010,5,May,18,5,Saturday,2,1
2010-05-09,2010,5,May,18,6,Sunday,2,1
2010-05-10,2010,5,May,19,0,Monday,2,0
2010-05-11,2010,5,May,19,1,Tuesday,2,0
2010-05-12,2010,5,May,19,2,Wednesday,2,0
2010-05-13,2010,5,May,19,3,Thursday,2,0
2010-05-14,2010,5,May,19,4,Friday,2,0
2010-05-15,2010,5,May,19,5,Saturday,2,1
2010-05-16,2010,5,May,19,6,Sunday,2,1
2010-05-17,2010,5,May,20,0,Monday,2,0
2010-05-18,2010,5,May,20,1,Tuesday,2,0
2010-05-19,2010,5,May,20,2,Wednesday,2,0
2010-05-20,2010,5,May,20,3,Thursday,2,0
2010-05-21,2010,5,May,20,4,Friday,2,0
2010-05-22,2010,5,May,20,5,Saturday,2,1
2010-05-23,2010,5,May,20,6,Sunday,2,1
2010-05-24,2010,5,May,21,0,Monday,2,0
2010-05-25,2010,5,May,21,1,Tuesday,2,0
2010-05-26,2010,5,May,21,2,Wednesday,2,0
2010-05-27,2010,5,May,21,3,Thursday,2,0
2010-05-28,2010,5,May,21,4,Friday,2,0
2010-05-29,2010,5,May,21,5,Saturday,2,1
2010-05-30,2010,5,May,21,6,Sunday,2,1
2010-05-31,2010,5,May,22,0,Monday,2,0
2010-06-01,2010,6,June,22,1,Tuesday,2,0
2010-06-02,2010,6,June,22,2,Wednesday,2,0
2010-06-03,2010,6,June,22,3,Thursday,2,0
2010-06-04,2010,6,June,22,4,Friday,2,0
2010-06-05,2010,6,June,22,5,Saturday,2,1
2010-06-06,2010,6,June,22,6,Sunday,2,1
2010-06-07,2010,6,June,23,0,Monday,2,0
2010-06-08,2010,6,June,23,1,Tuesday,2,0
2010-06-09,2010,6,June,23,2,Wednesday,2,0
2010-06-10,2010,6,June,23,3,Thursday,2,0
2010-06-11,2010,6,June,23,4,Friday,2,0
2010-06-12,2010,6,June,23,5,Saturday,2,1
2010-06-13,2010,6,June,23,6,Sunday,2,1
2010-06-14,2010,6,June,24,0,Monday,2,0
2010-06-15,2010,6,June,24,1,Tuesday,2,0
2010-06-16,2010,6,June,24,2,Wednesday,2,0
2010-06-17,2010,6,June,24,3,Thursday,2,0
2010-06-18,2010,6,June,24,4,Friday,2,0
2010-06-19,2010,6,June,24,5,Saturday,2,1
2010-06-20,2010,6,June,24,6,Sunday,2,1
2010-06-21,2010,6,June,25,0,Monday,2,0
2010-06-22,2010,6,June,25,1,Tuesday,2,0
2010-06-23,2010,6,June,25,2,Wednesday,2,0
2010-06-24,2010,6,June,25,3,Thursday,2,0
2010-06-25,2010,6,June,25,4,Friday,2,0
2010-06-26,2010,6,June,25,5,Saturday,2,1
2010-06-27,2010,6,June,25,6,Sunday,2,1
2010-06-28,2010,6,June,26,0,Monday,2,0
2010-06-29,2010,6,June,26,1,Tuesday,2,0
2010-06-30,2010,6,June,26,2,Wednesday,2,0
2010-07-01,2010,7,July,26,3,Thursday,3,0
2010-07-02,2010,7,July,26,4,Friday,3,0
2010-07-03,2010,7,July,26,5,Saturday,3,1
2010-07-04,2010,7,July,26,6,Sunday,3,1
2010-07-05,2010,7,July,27,0,Monday,3,0
2010-07-06,2010,7,July,27,1,Tuesday,3,0
2010-07-07,2010,7,July,27,2,Wednesday,3,0
2010-07-08,2010,7,July,27,3,Thursday,3,0
2010-07-09,2010,7,July,27,4,Friday,3,0
2010-07-10,2010,7,July,27,5,Saturday,3,1
2010-07-11,2010,7,July,27,6,Sunday,3,1
2010-07-12,2010,7,July,28,0,Monday,3,0
2010-07-13,2010,7,July,28,1,Tuesday,3,0
2010-07-14,2010,7,July,28,2,Wednesday,3,0
2010-07-15,2010,7,July,28,3,Thursday,3,0
2010-07-16,2010,7,July,28,4,Friday,3,0
2010-07-17,2010,7,July,28,5,Saturday,3,1
2010-07-18,2010,7,July,28,6,Sunday,3,1
2010-07-19,2010,7,July,29,0,Monday,3,0
2010-07-20,2010,7,July,29,1,Tuesday,3,0
2010-07-21,2010,7,July,29,2,Wednesday,3,0
2010-07-22,2010,7,July,29,3,Thursday,3,0
2010-07-23,2010,7,July,29,4,Friday,3,0
2010-07-24,2010,7,July,29,5,Saturday,3,1
2010-07-25,2010,7,July,29,6,Sunday,3,1
2010-07-26,2010,7,July,30,0,Monday,3,0
2010-07-27,2010,7,July,30,1,Tuesday,3,0
2010-07-28,2010,7,July,30,2,Wednesday,3,0
2010-07-29,2010,7,July,30,3,Thursday,3,0
2010-07-30,2010,7,July,30,4,Friday,3,0
2010-07-31,2010,7,July,30,5,Saturday,3,1
