sku_id,description,first_sale_date,last_sale_date,average_selling_price,total_units_sold,total_revenue,history_weeks,is_recent,is_long_enough,in_core_scope
10002,INFLATABLE POLITICAL GLOBE,2009-12-01,2011-04-18,0.9791553133514984,8671.0,6942.26,71.85714285714286,False,True,False
10002R,ROBOT PENCIL SHARPNER,2009-12-02,2010-01-25,5.133333333333333,4.0,20.57,7.714285714285714,False,False,False
10080,GROOVY CACTUS INFLATABLE,2009-12-02,2011-11-21,0.505,315.0,129.29,102.71428571428571,True,True,True
10109,BENDY COLOUR PENCILS,2009-12-03,2009-12-03,0.42,4.0,1.68,0.0,False,False,False
10120,DOGGY RUBBER,2009-12-01,2011-12-04,0.2401369863013698,664.0,142.74,104.71428571428571,True,True,True
10123C,HEARTS WRAPPING TAPE,2009-12-01,2011-03-31,0.7906349206349207,650.0,254.41000000000005,69.28571428571429,False,True,False
10123G,ARMY CAMO WRAPPING TAPE,2009-12-01,2010-11-29,0.8205882352941177,2251.0,165.55999999999997,51.857142857142854,False,False,False
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-03-19,2011-11-06,0.42,58.0,24.36,85.28571428571429,True,True,True
10124G,ARMY CAMO BOOKCOVER TAPE,2010-05-13,2011-11-06,0.462,33.0,14.28,77.42857142857143,True,True,True
10125,MINI FUNKY DESIGN TAPES,2009-12-01,2011-12-09,0.930635838150289,2103.0,1715.78,105.42857142857143,True,True,True
10133,COLOURING PENCILS BROWN TUBE,2009-12-01,2011-09-07,0.7457093425605537,3837.0,2373.26,92.14285714285714,False,True,False
10134,COLOURING PENCILS BROWN TUBE,2009-12-03,2010-11-12,1.2907407407407407,625.0,721.13,49.142857142857146,False,False,False
10135,COLOURING PENCILS BROWN TUBE,2009-12-01,2011-12-08,1.3985626911314983,4226.0,4566.21,105.28571428571429,True,True,True
10138,ASSORTED COLOUR JUMBO PEN,2009-12-02,2010-04-20,0.4776190476190476,261.0,111.22,19.857142857142858,False,False,False
11001,ASSTD DESIGN RACING CAR PEN,2009-12-01,2011-12-06,1.8730078125,4829.0,7408.65,105.0,True,True,True
15030,FAN BLACK FRAME,2009-12-13,2011-12-06,0.29,254.0,73.66,103.28571428571429,True,True,True
15034,PAPER POCKET TRAVELING FAN,2009-12-01,2011-12-08,0.357265625,10153.0,1416.2600000000002,105.28571428571429,True,True,True
15036,ASSORTED COLOURS SILK FAN,2009-12-01,2011-12-09,0.9932560483870968,44272.0,32967.03,105.42857142857143,True,True,True
15039,SANDALWOOD FAN,2009-12-03,2011-12-09,1.1448376623376624,5101.0,4345.62,105.14285714285714,True,True,True
15044A,PINK PAPER PARASOL,2009-12-07,2011-12-05,3.5974,4964.0,13210.85,104.0,True,True,True
15044B,BLUE PAPER PARASOL,2009-12-01,2011-09-28,3.5482539682539684,1670.0,4644.13,95.14285714285714,False,True,False
15044C,PURPLE PAPER PARASOL,2009-12-01,2011-12-06,3.820387931034483,967.0,3027.26,105.0,True,True,True
15044D,RED PAPER PARASOL,2009-12-01,2011-12-05,3.438471615720524,1596.0,4559.650000000001,104.85714285714286,True,True,True
15056BL,EDWARDIAN PARASOL BLACK,2009-12-01,2011-12-09,6.25234752589183,9504.0,47267.45,105.42857142857143,True,True,True
15056N,EDWARDIAN PARASOL NATURAL,2009-12-01,2011-12-09,6.818394230769231,11286.0,57975.45,105.42857142857143,True,True,True
15056P,EDWARDIAN PARASOL PINK,2009-12-01,2011-12-08,6.234869565217392,2473.0,12228.92,105.28571428571429,True,True,True
15056bl,EDWARDIAN PARASOL BLACK,2009-12-01,2011-12-09,12.562068965517245,116.0,1456.3200000000002,105.42857142857143,True,True,True
15056n,EDWARDIAN PARASOL NATURAL,2010-06-08,2011-11-30,12.549655172413791,173.0,2170.4,77.14285714285714,True,True,True
15056p,EDWARDIAN PARASOL PINK,2010-06-24,2011-12-05,12.569473684210529,46.0,577.84,75.57142857142857,True,True,True
15058A,BLUE WHITE SPOTS GARDEN PARASOL,2010-01-24,2011-11-23,8.550536912751678,476.0,3153.73,95.42857142857143,True,True,True
15058B,PINK WHITE SPOTS GARDEN PARASOL,2010-01-13,2011-11-17,9.685,438.0,3327.67,96.14285714285714,True,True,True
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-01-24,2011-12-09,9.667049180327869,470.0,2753.72,97.71428571428571,True,True,True
15059A,ENGLISH ROSE EDWARDIAN PARASOL,2009-12-01,2009-12-03,10.5,509.0,1567.0,0.2857142857142857,False,False,False
15060B,FAIRY CAKE DESIGN UMBRELLA,2009-12-03,2011-11-18,5.541804008908686,1414.0,6444.9800000000005,102.14285714285714,True,True,True
15060b,FAIRY CAKE DESIGN UMBRELLA,2010-03-05,2011-11-20,8.362,5.0,41.81,89.28571428571429,True,True,True
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-03-19,2011-12-09,0.156235294117647,3141.0,422.96,90.0,True,True,True
