sku_id,description,first_sale_date,last_sale_date,average_selling_price,total_units_sold,total_revenue
10002,INFLATABLE POLITICAL GLOBE,2009-12-01,2011-04-18,0.9791553133514985,8671.0,6942.26
10002R,ROBOT PENCIL SHARPNER,2009-12-02,2010-01-25,5.133333333333333,4.0,20.57
10080,GROOVY CACTUS INFLATABLE,2009-12-02,2011-11-21,0.505,315.0,129.29
10109,BENDY COLOUR PENCILS,2009-12-03,2009-12-03,0.42,4.0,1.68
10120,DOGGY RUBBER,2009-12-01,2011-12-04,0.24013698630136987,664.0,142.74
10123C,HEARTS WRAPPING TAPE,2009-12-01,2011-03-31,0.7906349206349207,650.0,254.41000000000003
10123G,ARMY CAMO WRAPPING TAPE,2009-12-01,2010-11-29,0.8205882352941177,2251.0,165.55999999999997
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-03-19,2011-11-06,0.42,58.0,24.36
10124G,ARMY CAMO BOOKCOVER TAPE,2010-05-13,2011-11-06,0.462,33.0,14.28
10125,MINI FUNKY DESIGN TAPES,2009-12-01,2011-12-09,0.930635838150289,2103.0,1715.78
10133,COLOURING PENCILS BROWN TUBE,2009-12-01,2011-09-07,0.7457093425605537,3837.0,2373.2599999999998
10134,COLOURING PENCILS BROWN TUBE,2009-12-03,2010-11-12,1.2907407407407407,625.0,721.13
10135,COLOURING PENCILS BROWN TUBE,2009-12-01,2011-12-08,1.3985626911314983,4226.0,4566.21
10138,ASSORTED COLOUR JUMBO PEN,2009-12-02,2010-04-20,0.4776190476190476,261.0,111.22
11001,ASSTD DESIGN RACING CAR PEN,2009-12-01,2011-12-06,1.8730078125,4829.0,7408.65
15030,FAN BLACK FRAME,2009-12-13,2011-12-06,0.29,254.0,73.66
15034,PAPER POCKET TRAVELING FAN,2009-12-01,2011-12-08,0.357265625,10153.0,1416.2600000000002
15036,ASSORTED COLOURS SILK FAN,2009-12-01,2011-12-09,0.9932560483870967,44272.0,32967.03
15039,SANDALWOOD FAN,2009-12-03,2011-12-09,1.1448376623376624,5101.0,4345.62
15044A,PINK PAPER PARASOL,2009-12-07,2011-12-05,3.5974,4964.0,13210.85
15044B,BLUE PAPER PARASOL,2009-12-01,2011-09-28,3.5482539682539684,1670.0,4644.13
15044C,PURPLE PAPER PARASOL,2009-12-01,2011-12-06,3.820387931034483,967.0,3027.26
15044D,RED PAPER PARASOL,2009-12-01,2011-12-05,3.438471615720524,1596.0,4559.650000000001
15056BL,EDWARDIAN PARASOL BLACK,2009-12-01,2011-12-09,6.25234752589183,9504.0,47267.450000000004
15056N,EDWARDIAN PARASOL NATURAL,2009-12-01,2011-12-09,6.818394230769231,11286.0,57975.450000000004
15056P,EDWARDIAN PARASOL PINK,2009-12-01,2011-12-08,6.234869565217392,2473.0,12228.92
15056bl,EDWARDIAN PARASOL BLACK,2009-12-01,2011-12-09,12.562068965517243,116.0,1456.3200000000002
15056n,EDWARDIAN PARASOL NATURAL,2010-06-08,2011-11-30,12.549655172413793,173.0,2170.4
15056p,EDWARDIAN PARASOL PINK,2010-06-24,2011-12-05,12.569473684210527,46.0,577.84
15058A,BLUE WHITE SPOTS GARDEN PARASOL,2010-01-24,2011-11-23,8.550536912751678,476.0,3153.73
15058B,PINK WHITE SPOTS GARDEN PARASOL,2010-01-13,2011-11-17,9.684999999999999,438.0,3327.67
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-01-24,2011-12-09,9.667049180327869,470.0,2753.72
